Board,Time (sec),Winning States,Status
3x3,0,90,OK
4x4,0.01,272,OK
5x5,0.06,650,OK
6x6,0.22,1332,OK
7x7,0.34,2450,OK
8x8,0.96,4160,OK
9x9,1.23,6642,OK
10x10,1.83,10100,OK
11x11,1.88,14762,OK
12x12,3.29,20880,OK
13x13,4.4,28730,OK
14x14,6.31,38612,OK
15x15,11.25,50850,OK
16x16,14.03,65792,OK
17x17,15.89,83810,OK
18x18,60.71,105300,OK
19x19,31.9,130682,OK
20x20,45.49,160400,OK
21x21,49.89,194922,OK
22x22,57.92,234740,OK
23x23,73.03,280370,OK
24x24,93.35,332352,OK
25x25,110.58,391250,OK
26x26,134.75,457652,OK
27x27,183.86,532170,OK
28x28,241.82,615440,OK
29x29,292.66,708122,OK
30x30,308.43,810900,OK
31x31,400.6,924482,OK
32x32,420.9,1049600,OK
33x33,575.74,1187010,OK
34x34,592.13,1337492,OK
35x35,855.87,1501850,OK
36x36,775.61,1680912,OK
37x37,892.24,1875530,OK
38x38,1174.74,2086580,OK
39x39,1446.32,2314962,OK
40x40,1444.91,2561600,OK
41x41,1697.6,2827442,OK
42x42,2174.19,3113460,OK
43x43,2638.24,3420650,OK
44x44,2838.92,3750032,OK
45x45,3244.26,4102650,OK
46x46,TIMED OUT,N/A,TIMED OUT
